"VanillaC4_005 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_005.tcf]","Time (h)","Q 2 [VanillaC4_005]","Q 3 [VanillaC4_005]","Q 4 [VanillaC4_005]","Q 5 [VanillaC4_005]","Q 6 [VanillaC4_005]","Q 7 [VanillaC4_005]","Q 1 [VanillaC4_005]","Q  8 [VanillaC4_005]"
          66,        1.083333,       -121.4643,       -121.4588,       -121.4608,       -121.4439,       -121.4595,       -121.4609,       -121.4603,       -121.4598
          67,        1.100000,       -121.4617,       -121.4588,       -121.4616,       -121.4438,       -121.4601,       -121.4609,       -121.4588,       -121.4603
          68,        1.116667,       -121.4607,       -121.4591,       -121.4598,       -121.4443,       -121.4607,       -121.4603,       -121.4609,       -121.4595
          69,        1.133333,       -121.4611,       -121.4592,       -121.4600,       -121.4443,       -121.4608,       -121.4587,       -121.4595,       -121.4601
          70,        1.150000,       -121.4622,       -121.4618,       -121.4595,       -121.4455,       -121.4608,       -121.4609,       -121.4594,       -121.4601
          71,        1.166667,       -121.4623,       -121.4616,       -121.4595,       -121.4458,       -121.4597,       -121.4598,       -121.4586,       -121.4600
          72,        1.183333,       -121.4616,       -121.4631,       -121.4586,       -121.4436,       -121.4593,       -121.4604,       -121.4588,       -121.4605
          73,        1.200000,       -121.4591,       -121.4618,       -121.4596,       -121.4424,       -121.4591,       -121.4608,       -121.4599,       -121.4593
          74,        1.216667,       -121.4597,       -121.4603,       -121.4611,       -121.4444,       -121.4597,       -121.4598,       -121.4614,       -121.4597
          75,        1.233333,       -121.4600,       -121.4601,       -121.4612,       -121.4444,       -121.4596,       -121.4615,       -121.4587,       -121.4599
          76,        1.250000,       -121.4595,       -121.4562,       -121.4601,       -121.4456,       -121.4594,       -121.4597,       -121.4605,       -121.4603
          77,        1.266667,       -121.4613,       -121.4604,       -121.4600,       -121.4456,       -121.4606,       -121.4601,       -121.4598,       -121.4593
          78,        1.283333,       -121.4534,       -121.4617,       -121.4601,       -121.4459,       -121.4600,       -121.4599,       -121.4602,       -121.4610
          79,        1.300000,       -121.4638,       -121.4623,       -121.4598,       -121.4460,       -121.4597,       -121.4603,       -121.4606,       -121.4606
          80,        1.316667,       -121.4621,       -121.4565,       -121.4604,       -121.4448,       -121.4595,       -121.4606,       -121.4601,       -121.4596
          81,        1.333333,       -121.4592,       -121.4604,       -121.4609,       -121.4436,       -121.4592,       -121.4598,       -121.4600,       -121.4592
          82,        1.350000,       -121.4601,       -121.4573,       -121.4613,       -121.4431,       -121.4610,       -121.4599,       -121.4593,       -121.4604
          83,        1.366667,       -121.4597,       -121.4596,       -121.4593,       -121.4438,       -121.4593,       -121.4593,       -121.4603,       -121.4601
          84,        1.383333,       -121.4624,       -121.4589,       -121.4605,       -121.4461,       -121.4610,       -121.4609,       -121.4594,       -121.4601
          85,        1.400000,       -121.4561,       -121.4634,       -121.4596,       -121.4449,       -121.4594,       -121.4594,       -121.4596,       -121.4602
          86,        1.416667,       -121.4604,       -121.4585,       -121.4598,       -121.4436,       -121.4594,       -121.4597,       -121.4609,       -121.4599
          87,        1.433333,       -121.4531,       -121.4611,       -121.4608,       -121.4440,       -121.4595,       -121.4615,       -121.4594,       -121.4585
          88,        1.450000,       -121.4578,       -121.4595,       -121.4612,       -121.4451,       -121.4595,       -121.4597,       -121.4590,       -121.4594
          89,        1.466667,       -121.4606,       -121.4608,       -121.4608,       -121.4448,       -121.4618,       -121.4600,       -121.4594,       -121.4602
          90,        1.483333,       -121.4572,       -121.4586,       -121.4590,       -121.4453,       -121.4597,       -121.4609,       -121.4602,       -121.4592
          91,        1.500000,       -121.4617,       -121.4615,       -121.4598,       -121.4458,       -121.4604,       -121.4607,       -121.4605,       -121.4600
          92,        1.516667,       -121.4610,       -121.4628,       -121.4602,       -121.4453,       -121.4599,       -121.4582,       -121.4605,       -121.4605
          93,        1.533333,       -121.4645,       -121.4609,       -121.4604,       -121.4438,       -121.4600,       -121.4606,       -121.4601,       -121.4601
          94,        1.550000,       -121.4603,       -121.4609,       -121.4603,       -121.4443,       -121.4593,       -121.4603,       -121.4607,       -121.4595
          95,        1.566667,       -121.4633,       -121.4588,       -121.4612,       -121.4436,       -121.4607,       -121.4599,       -121.4601,       -121.4600
          96,        1.583333,       -121.4604,       -121.4614,       -121.4589,       -121.4451,       -121.4595,       -121.4612,       -121.4602,       -121.4607
          97,        1.600000,       -121.4602,       -121.4615,       -121.4596,       -121.4461,       -121.4600,       -121.4602,       -121.4594,       -121.4601
          98,        1.616667,       -121.4645,       -121.4597,       -121.4598,       -121.4447,       -121.4593,       -121.4599,       -121.4595,       -121.4595
          99,        1.633333,       -121.4619,       -121.4588,       -121.4601,       -121.4444,       -121.4595,       -121.4596,       -121.4617,       -121.4602
         100,        1.650000,       -121.4589,       -121.4596,       -121.4607,       -121.4459,       -121.4597,       -121.4603,       -121.4602,       -121.4593
         101,        1.666667,       -121.4601,       -121.4619,       -121.4614,       -121.4448,       -121.4591,       -121.4610,       -121.4605,       -121.4598
         102,        1.683333,       -121.4628,       -121.4557,       -121.4613,       -121.4440,       -121.4599,       -121.4586,       -121.4606,       -121.4593
         103,        1.700000,       -121.4599,       -121.4604,       -121.4592,       -121.4451,       -121.4390,       -121.3613,       -121.4588,       -121.9694
         104,        1.716667,       -121.4612,       -121.4601,       -121.4588,       -121.4712,       -121.4281,       -121.4335,       -121.4592,       -121.4382
         105,        1.733333,       -121.4594,       -121.4629,       -121.4628,       -121.4402,       -121.4482,       -121.4416,       -121.4611,       -121.4406
         106,        1.750000,       -121.4617,       -121.4616,       -121.4568,       -121.4411,       -121.4559,       -121.4498,       -121.4605,       -121.4485
         107,        1.766667,       -121.4550,       -121.4598,       -121.4588,       -121.4435,       -121.4571,       -121.4547,       -121.4607,       -121.4528
         108,        1.783333,       -121.4598,       -121.4582,       -121.4591,       -121.4435,       -121.4570,       -121.4576,       -121.4588,       -121.4555
         109,        1.800000,       -121.4606,       -121.4575,       -121.4603,       -121.4427,       -121.4596,       -121.4564,       -121.4623,       -121.4574
         110,        1.816667,       -121.4617,       -121.4596,       -121.4589,       -121.4448,       -121.4598,       -121.4595,       -121.4600,       -121.4583
         111,        1.833333,       -121.4596,       -121.4609,       -121.4595,       -121.4456,       -121.4589,       -121.4588,       -121.4596,       -121.4593
         112,        1.850000,       -121.4594,       -121.4607,       -121.4598,       -121.4450,       -121.4597,       -121.4597,       -121.4595,       -121.4597
         113,        1.866667,       -121.4596,       -121.4623,       -121.4591,       -121.4435,       -121.4587,       -121.4595,       -121.4625,       -121.4598
         114,        1.883333,       -121.4624,       -121.4603,       -121.4600,       -121.4435,       -121.4594,       -121.4607,       -121.4600,       -121.4597
         115,        1.900000,       -121.4628,       -121.4595,       -121.4607,       -121.4441,       -121.4593,       -121.4610,       -121.4602,       -121.4595
         116,        1.916667,       -121.4596,       -121.4590,       -121.4605,       -121.4432,       -121.4597,       -121.4593,       -121.4615,       -121.4605
         117,        1.933333,       -121.4596,       -121.4562,       -121.4601,       -121.4445,       -121.4612,       -121.4604,       -121.4599,       -121.4602
         118,        1.950000,       -121.4598,       -121.4605,       -121.4587,       -121.4463,       -121.4597,       -121.4598,       -121.4589,       -121.4602
         119,        1.966667,       -121.4602,       -121.4623,       -121.4596,       -121.4458,       -121.4605,       -121.4587,       -121.4614,       -121.4607
         120,        1.983333,       -121.4629,       -121.4613,       -121.4579,       -121.4449,       -121.4595,       -121.4594,       -121.4595,       -121.4596
         121,        2.000000,       -121.4574,       -121.4606,       -121.4603,       -121.4432,       -121.4591,       -121.4592,       -121.4595,       -121.4599

