"VanillaC4_003 [C:\Users\waterlab\Documents\ArcGIS\Projects\Anzy\04_Hydraulic-Modeling\Gregs_Tuflow_training_files\RosgenC4_tuflow\runs\VanillaC4_003.tcf]","Time (h)","Q 2 [VanillaC4_003]","Q 3 [VanillaC4_003]","Q 4 [VanillaC4_003]","Q 5 [VanillaC4_003]","Q 6 [VanillaC4_003]","Q 7 [VanillaC4_003]","Q 1 [VanillaC4_003]","Q  8 [VanillaC4_003]"
          26,        0.416667,       -121.4601,       -121.4602,       -121.4600,       -121.4595,       -121.4600,       -121.4588,       -121.4598,       -121.4584
          27,        0.433333,       -121.4595,       -121.4592,       -121.4597,       -121.4595,       -121.4592,       -121.4592,       -121.4612,       -121.4590
          28,        0.450000,       -121.4607,       -121.4594,       -121.4593,       -121.4595,       -121.4607,       -121.4599,       -121.4596,       -121.4599
          29,        0.466667,       -121.4588,       -121.4603,       -121.4604,       -121.4602,       -121.4598,       -121.4597,       -121.4606,       -121.4595
          30,        0.483333,       -121.4607,       -121.4598,       -121.4594,       -121.4601,       -121.4601,       -121.4595,       -121.4600,       -121.4593
          31,        0.500000,       -121.4597,       -121.4602,       -121.4597,       -121.4601,       -121.4589,       -121.4600,       -121.4600,       -121.4603
          32,        0.516667,       -121.4601,       -121.4603,       -121.4605,       -121.4596,       -121.4604,       -121.4595,       -121.4590,       -121.4601
          33,        0.533333,       -121.4598,       -121.4598,       -121.4600,       -121.4603,       -121.4600,       -121.4599,       -121.4613,       -121.4600
          34,        0.550000,       -121.4604,       -121.4600,       -121.4597,       -121.4601,       -121.4597,       -121.4600,       -121.4603,       -121.4601
          35,        0.566667,       -121.4601,       -121.4601,       -121.4604,       -121.4592,       -121.4596,       -121.4608,       -121.4587,       -121.4604
          36,        0.583333,       -121.4602,       -121.4601,       -121.4607,       -121.4595,       -121.4598,       -121.4595,       -121.4591,       -121.4603
          37,        0.600000,       -121.4598,       -121.4605,       -121.4598,       -121.4595,       -121.4599,       -121.4599,       -121.4602,       -121.4600
          38,        0.616667,       -121.4601,       -121.4600,       -121.4598,       -121.4598,       -121.4603,       -121.4594,       -121.4588,       -121.4599
          39,        0.633333,       -121.4595,       -121.4599,       -121.4595,       -121.4598,       -121.4601,       -121.4593,       -121.4607,       -121.4603
          40,        0.650000,       -121.4604,       -121.4595,       -121.4602,       -121.4594,       -121.4605,       -121.4603,       -121.4600,       -121.4596
          41,        0.666667,       -121.4602,       -121.4611,       -121.4598,       -121.4607,       -121.4607,       -121.4601,       -121.4599,       -121.4597
          42,        0.683333,       -121.4609,       -121.4604,       -121.4602,       -121.4597,       -121.4598,       -121.4601,       -121.4585,       -121.4598
          43,        0.700000,       -121.4597,       -121.4607,       -121.4601,       -121.4602,       -121.4601,       -121.4598,       -121.4589,       -121.4603
          44,        0.716667,       -121.4605,       -121.4607,       -121.4600,       -121.4597,       -121.4606,       -121.4601,       -121.4601,       -121.4601
          45,        0.733333,       -121.4599,       -121.4599,       -121.4599,       -121.4600,       -121.4602,       -121.4593,       -121.4604,       -121.4591
          46,        0.750000,       -121.4594,       -121.4608,       -121.4598,       -121.4602,       -121.4599,       -121.4599,       -121.4613,       -121.4600
          47,        0.766667,       -121.4591,       -121.4604,       -121.4607,       -121.4600,       -121.4604,       -121.4598,       -121.4618,       -121.4602
          48,        0.783333,       -121.4607,       -121.4602,       -121.4604,       -121.4598,       -121.4608,       -121.4599,       -121.4599,       -121.4596
          49,        0.800000,       -121.4605,       -121.4593,       -121.4598,       -121.4599,       -121.4601,       -121.4605,       -121.4612,       -121.4596
          50,        0.816667,       -121.4593,       -121.4605,       -121.4607,       -121.4596,       -121.4596,       -121.4600,       -121.4596,       -121.4597
          51,        0.833333,       -121.4598,       -121.4597,       -121.4595,       -121.4601,       -121.4599,       -121.4599,       -121.4587,       -121.4596
          52,        0.850000,       -121.4607,       -121.4609,       -121.4600,       -121.4598,       -121.4604,       -121.4594,       -121.4603,       -121.4599
          53,        0.866667,       -121.4597,       -121.4600,       -121.4599,       -121.4588,       -121.4599,       -121.4602,       -121.4569,       -121.4602
          54,        0.883333,       -121.4604,       -121.4607,       -121.4599,       -121.4599,       -121.4607,       -121.4608,       -121.4593,       -121.4606
          55,        0.900000,       -121.4599,       -121.4599,       -121.4595,       -121.4589,       -121.4590,       -121.4604,       -121.4616,       -121.4604
          56,        0.916667,       -121.4595,       -121.4591,       -121.4602,       -121.4605,       -121.4599,       -121.4603,       -121.4605,       -121.4603
          57,        0.933333,       -121.4605,       -121.4600,       -121.4600,       -121.4602,       -121.4602,       -121.4596,       -121.4614,       -121.4601
          58,        0.950000,       -121.4606,       -121.4601,       -121.4595,       -121.4596,       -121.4602,       -121.4602,       -121.4602,       -121.4601
          59,        0.966667,       -121.4598,       -121.4599,       -121.4600,       -121.4602,       -121.4601,       -121.4599,       -121.4588,       -121.4593
          60,        0.983333,       -121.4596,       -121.4605,       -121.4604,       -121.4601,       -121.4601,       -121.4599,       -121.4600,       -121.4594
          61,        1.000000,       -121.4594,       -121.4595,       -121.4601,       -121.4596,       -121.4603,       -121.4606,       -121.4595,       -121.4601
          62,        1.016667,       -121.4601,       -121.4596,       -121.4602,       -121.4601,       -121.4601,       -121.4598,       -121.4610,       -121.4599
          63,        1.033333,       -121.4592,       -121.4594,       -121.4596,       -121.4602,       -121.4597,       -121.4600,       -121.4599,       -121.4604
          64,        1.050000,       -121.4604,       -121.4603,       -121.4600,       -121.4597,       -121.4603,       -121.4603,       -121.4593,       -121.4603
          65,        1.066667,       -121.4582,       -121.4600,       -121.4603,       -121.4598,       -121.4599,       -121.4604,       -121.4590,       -121.4599
          66,        1.083333,       -121.4603,       -121.4604,       -121.4602,       -121.4607,       -121.4601,       -121.4596,       -121.4596,       -121.4597
          67,        1.100000,       -121.4596,       -121.4597,       -121.4607,       -121.4595,       -121.4601,       -121.4595,       -121.4591,       -121.4597
          68,        1.116667,       -121.4591,       -121.4593,       -121.4603,       -121.4600,       -121.4599,       -121.4596,       -121.4590,       -121.4604
          69,        1.133333,       -121.4599,       -121.4599,       -121.4606,       -121.4602,       -121.4596,       -121.4602,       -121.4601,       -121.4595
          70,        1.150000,       -121.4604,       -121.4602,       -121.4606,       -121.4601,       -121.4600,       -121.4602,       -121.4615,       -121.4595
          71,        1.166667,       -121.4609,       -121.4597,       -121.4596,       -121.4601,       -121.4603,       -121.4597,       -121.4593,       -121.4600
          72,        1.183333,       -121.4596,       -121.4597,       -121.4605,       -121.4607,       -121.4598,       -121.4599,       -121.4603,       -121.4596
          73,        1.200000,       -121.4596,       -121.4603,       -121.4605,       -121.4599,       -121.4609,       -121.4601,       -121.4616,       -121.4599
          74,        1.216667,       -121.4603,       -121.4597,       -121.4593,       -121.4603,       -121.4598,       -121.4601,       -121.4598,       -121.4597
          75,        1.233333,       -121.4603,       -121.4601,       -121.4598,       -121.4596,       -121.4600,       -121.4599,       -121.4599,       -121.4603
          76,        1.250000,       -121.4592,       -121.4610,       -121.4597,       -121.4600,       -121.4602,       -121.4594,       -121.4600,       -121.4591
          77,        1.266667,       -121.4601,       -121.4598,       -121.4606,       -121.4600,       -121.4598,       -121.4600,       -121.4611,       -121.4608
          78,        1.283333,       -121.4610,       -121.4597,       -121.4589,       -121.4597,       -121.4606,       -121.4597,       -121.4609,       -121.4602
          79,        1.300000,       -121.4613,       -121.4596,       -121.4603,       -121.4592,       -121.4600,       -121.4597,       -121.4603,       -121.4603
          80,        1.316667,       -121.4604,       -121.4599,       -121.4597,       -121.4597,       -121.4601,       -121.4603,       -121.4597,       -121.4606
          81,        1.333333,       -121.4600,       -121.4608,       -121.4599,       -121.4605,       -121.4601,       -121.4596,       -121.4608,       -121.4599
          82,        1.350000,       -121.4598,       -121.4594,       -121.4603,       -121.4601,       -121.4601,       -121.4598,       -121.4611,       -121.4599
          83,        1.366667,       -121.4594,       -121.4611,       -121.4602,       -121.4593,       -121.4591,       -121.4600,       -121.4597,       -121.4596
          84,        1.383333,       -121.4605,       -121.4605,       -121.4600,       -121.4604,       -121.4602,       -121.4595,       -121.4604,       -121.4602
          85,        1.400000,       -121.4598,       -121.4600,       -121.4601,       -121.4596,       -121.4597,       -121.4599,       -121.4595,       -121.4597
          86,        1.416667,       -121.4603,       -121.4598,       -121.4600,       -121.4600,       -121.4597,       -121.4596,       -121.4610,       -121.4588
          87,        1.433333,       -121.4606,       -121.4604,       -121.4605,       -121.4602,       -121.4599,       -121.4603,       -121.4611,       -121.4601
          88,        1.450000,       -121.4606,       -121.4602,       -121.4598,       -121.4602,       -121.4594,       -121.4602,       -121.4599,       -121.4602
          89,        1.466667,       -121.4602,       -121.4594,       -121.4606,       -121.4601,       -121.4599,       -121.4607,       -121.4581,       -121.4597
          90,        1.483333,       -121.4607,       -121.4604,       -121.4601,       -121.4600,       -121.4598,       -121.4596,       -121.4597,       -121.4601
          91,        1.500000,       -121.4606,       -121.4605,       -121.4594,       -121.4595,       -121.4593,       -121.4612,       -121.4598,       -121.4598
          92,        1.516667,       -121.4590,       -121.4602,       -121.4602,       -121.4597,       -121.4599,       -121.4591,       -121.4603,       -121.4591
          93,        1.533333,       -121.4605,       -121.4600,       -121.4602,       -121.4599,       -121.4595,       -121.4608,       -121.4597,       -121.4599
          94,        1.550000,       -121.4606,       -121.4601,       -121.4599,       -121.4600,       -121.4605,       -121.4601,       -121.4617,       -121.4597
          95,        1.566667,       -121.4600,       -121.4589,       -121.4598,       -121.4597,       -121.4601,       -121.4600,       -121.4603,       -121.4593
          96,        1.583333,       -121.4598,       -121.4604,       -121.4607,       -121.4604,       -121.4602,       -121.4599,       -121.4626,       -121.4600
          97,        1.600000,       -121.4597,       -121.4596,       -121.4599,       -121.4602,       -121.4597,       -121.4599,       -121.4587,       -121.4599
          98,        1.616667,       -121.4601,       -121.4598,       -121.4609,       -121.4596,       -121.4600,       -121.4607,       -121.4608,       -121.4602
          99,        1.633333,       -121.4605,       -121.4594,       -121.4604,       -121.4601,       -121.4597,       -121.4598,       -121.4593,       -121.4607
         100,        1.650000,       -121.4608,       -121.4602,       -121.4603,       -121.4604,       -121.4600,       -121.4603,       -121.4598,       -121.4606
         101,        1.666667,       -121.4606,       -121.4597,       -121.4603,       -121.4595,       -121.4601,       -121.4604,       -121.4590,       -121.4609
         102,        1.683333,       -121.4596,       -121.4605,       -121.4600,       -121.4595,       -121.4593,       -121.4602,       -121.4612,       -121.4597
         103,        1.700000,       -121.4593,       -121.4600,       -121.4601,       -121.4604,       -121.4600,       -121.4603,       -121.4585,       -121.4598
         104,        1.716667,       -121.4597,       -121.4598,       -121.4597,       -121.4603,       -121.4605,       -121.4607,       -121.4614,       -121.4603
         105,        1.733333,       -121.4608,       -121.4603,       -121.4600,       -121.4597,       -121.4597,       -121.4598,       -121.4605,       -121.4602
         106,        1.750000,       -121.4593,       -121.4599,       -121.4600,       -121.4606,       -121.4610,       -121.4607,       -121.4614,       -121.4591
         107,        1.766667,       -121.4605,       -121.4606,       -121.4596,       -121.4601,       -121.4603,       -121.4606,       -121.4598,       -121.4598
         108,        1.783333,       -121.4591,       -121.4610,       -121.4605,       -121.4609,       -121.4594,       -121.4598,       -121.4600,       -121.4602
         109,        1.800000,       -121.4599,       -121.4595,       -121.4598,       -121.4604,       -121.4606,       -121.4604,       -121.4603,       -121.4597
         110,        1.816667,       -121.4599,       -121.4604,       -121.4605,       -121.4590,       -121.4604,       -121.4598,       -121.4598,       -121.4600
         111,        1.833333,       -121.4604,       -121.4603,       -121.4597,       -121.4597,       -121.4599,       -121.4601,       -121.4595,       -121.4601
         112,        1.850000,       -121.4611,       -121.4591,       -121.4609,       -121.4602,       -121.4602,       -121.4599,       -121.4598,       -121.4597
         113,        1.866667,       -121.4605,       -121.4602,       -121.4596,       -121.4593,       -121.4598,       -121.4603,       -121.4603,       -121.4598
         114,        1.883333,       -121.4599,       -121.4607,       -121.4604,       -121.4602,       -121.4596,       -121.4604,       -121.4601,       -121.4605
         115,        1.900000,       -121.4605,       -121.4593,       -121.4596,       -121.4606,       -121.4600,       -121.4598,       -121.4590,       -121.4609
         116,        1.916667,       -121.4593,       -121.4600,       -121.4601,       -121.4593,       -121.4599,       -121.4604,       -121.4587,       -121.4598
         117,        1.933333,       -121.4602,       -121.4602,       -121.4597,       -121.4595,       -121.4602,       -121.4597,       -121.4600,       -121.4606
         118,        1.950000,       -121.4590,       -121.4602,       -121.4606,       -121.4598,       -121.4605,       -121.4600,       -121.4583,       -121.4603
         119,        1.966667,       -121.4599,       -121.4605,       -121.4602,       -121.4595,       -121.4596,       -121.4600,       -121.4595,       -121.4607
         120,        1.983333,       -121.4600,       -121.4597,       -121.4608,       -121.4604,       -121.4602,       -121.4598,       -121.4603,       -121.4596
         121,        2.000000,       -121.4603,       -121.4602,       -121.4607,       -121.4594,       -121.4595,       -121.4598,       -121.4590,       -121.4596

